# File generated by CMD 3.6 (http://stev.oapd.inaf.it/cmd) on Thu Nov 18 13:50:13 CET 2021
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.015 0.00898 8.00000 0.0900000036 1.0816895962    0.090 -2.754  3.4019  4.706    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.31e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 11.656 13.701 16.471 12.225
0.015 0.00898 8.00000 0.0930437222 1.1102222204    0.093 -2.730  3.4053  4.710    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.43e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 11.595 13.640 16.411 12.164
0.015 0.00898 8.00000 0.1000000089 1.1711064577    0.100 -2.674  3.4133  4.717    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.73e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 11.455 13.500 16.273 12.024
0.015 0.00898 8.00000 0.1007822901 1.1776081324    0.101 -2.668  3.4140  4.718    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.76e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 11.441 13.487 16.260 12.011
0.015 0.00898 8.00000 0.1114063337 1.2598879337    0.111 -2.594  3.4236  4.725    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.21e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 11.255 13.209 15.866 11.754
0.015 0.00898 8.00000 0.1200000048 1.3193155527    0.120 -2.537  3.4316  4.733    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.58e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 11.113 12.952 15.464 11.523
0.015 0.00898 8.00000 0.1399600059 1.4382369518    0.140 -2.431  3.4439  4.743    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.35e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 10.849 12.529 14.849 11.137
0.015 0.00898 8.00000 0.1400000006 1.4384527206    0.140 -2.431  3.4439  4.743    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.35e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 10.848 12.528 14.848 11.137
0.015 0.00898 8.00000 0.1414268911 1.4460984468    0.141 -2.424  3.4447  4.743    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.41e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 10.831 12.500 14.808 11.111
0.015 0.00898 8.00000 0.1599999964 1.5372931957    0.160 -2.338  3.4548  4.751    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.16e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 10.614 12.156 14.306 10.800
0.015 0.00898 8.00000 0.2000000179 1.6938792467    0.200 -2.185  3.4717  4.763    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -7.72e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 10.232 11.579 13.484 10.277
0.015 0.00898 8.00000 0.2201249152 1.7580057383    0.220 -2.121  3.4783  4.767    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -8.5e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 10.071 11.346 13.163 10.065
0.015 0.00898 8.00000 0.2500000000 1.8403258324    0.250 -2.034  3.4872  4.771    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.68e-16      0.00 7.098e-01 2.751e-01 2.709e-03 7.309e-04 6.629e-03 -1.000 1.507e-02 9.855 11.033 12.731 9.784
